TimeStamp,Message,SourceIP,EventID,TargetUserName,Task
1/4/2024 6:40,An account was logged off.,144.077.118.132,4625,rekha.y,logOff
1/4/2024 6:41,An account failed to log on.,082.035.089.063,4625,rekha.y,LoginFailure
1/4/2024 6:42,An account was logged off.,057.011.111.115,4634,arcsight,logOff
1/4/2024 6:43,An account was logged off.,141.137.038.091,4634,SKY$,logOff
1/4/2024 6:44,An account failed to log on.,104.140.170.157,4624,SKY$,LoginFailure
1/4/2024 6:45,An account failed to log on.,022.129.247.254,4624,ram,LoginFailure
1/4/2024 6:46,An account failed to log on.,162.207.199.227,4625,arcsight,LoginFailure
1/4/2024 6:47,An account failed to log on,203.0.113.99,4625,nimmi.adp,LoginFailure
1/4/2024 6:48,An account failed to log on,203.0.113.99,4625,nimmi.adp,LoginFailure
1/4/2024 6:49,An account failed to log on,203.0.113.99,4625,nimmi.adp,LoginFailure
1/4/2024 6:50,An account was successfully logged on.,002.055.178.133,4624,SKY$,LogOn
1/4/2024 6:51,An account was logged off.,063.164.129.147,4625,Ram,logOff
1/4/2024 6:52,An account was logged off.,158.190.008.099,4634,SKY$,logOff
1/4/2024 6:53,An account was successfully logged on.,150.078.159.186,4625,nimmi.adp,LogOn
1/4/2024 6:54,An account was logged off.,179.122.035.096,4634,RAHDELHI,logOff
1/4/2024 6:55,An account failed to log on.,174.163.057.003,4634,rekha.y,LoginFailure
1/4/2024 6:56,An account was logged off.,216.135.115.184,4624,rekha.y,logOff
1/4/2024 6:57,An account was logged off.,025.147.018.187,4634,Ram,logOff
1/4/2024 6:58,An account failed to log on.,151.136.218.114,4624,Ram,LoginFailure
1/4/2024 6:59,An account was logged off.,131.194.226.005,4625,nimmi.adp,logOff
1/4/2024 7:00,An account was logged off.,249.229.180.194,4634,arcsight,logOff
1/4/2024 7:01,An account failed to log on.,161.185.102.047,4634,Ram,LoginFailure
1/4/2024 7:02,An account failed to log on.,081.086.185.036,4634,arcsight,LoginFailure
1/4/2024 7:03,An account failed to log on.,198.049.215.113,4625,arcsight,LoginFailure
1/4/2024 7:04,An account failed to log on.,125.033.178.008,4634,nimmi.adp,LoginFailure
1/4/2024 7:05,An account was logged off.,121.097.216.137,4634,Ram,logOff
1/4/2024 7:06,An account failed to log on.,236.143.058.027,4624,RAHDELHI,LoginFailure
1/4/2024 7:07,An account was logged off.,121.014.062.002,4634,rekha.y,logOff
1/4/2024 7:08,An account was successfully logged on.,015.107.248.085,4625,Ram,LogOn
1/4/2024 7:09,An account was logged off.,043.071.017.247,4624,arcsight,logOff
1/4/2024 7:10,An account was logged off.,242.254.159.162,4624,ram,logOff
1/4/2024 7:11,An account failed to log on.,162.049.155.104,4634,arcsight,LoginFailure
1/4/2024 7:12,An account was logged off.,017.235.205.195,4634,arcsight,logOff
1/4/2024 7:13,An account failed to log on.,208.243.072.125,4624,RAHDELHI,LoginFailure
1/4/2024 7:14,An account was successfully logged on.,252.140.079.160,4634,arcsight,LogOn
1/4/2024 7:15,An account was logged off.,117.042.202.221,4634,rekha.y,logOff
1/4/2024 7:16,An account failed to log on.,110.027.169.107,4625,ram,LoginFailure
1/4/2024 7:17,An account failed to log on.,185.151.116.096,4625,SKY$,LoginFailure
1/4/2024 7:18,An account failed to log on.,107.032.157.009,4624,nimmi.adp,LoginFailure
1/4/2024 7:19,An account failed to log on.,095.167.189.014,4624,SKY$,LoginFailure
1/4/2024 7:20,An account failed to log on.,109.159.079.182,4625,Ram,LoginFailure
1/4/2024 7:21,An account was logged off.,087.114.161.100,4634,SKY$,logOff
1/4/2024 7:22,An account was successfully logged on.,218.001.154.229,4625,RAHDELHI,LogOn
1/4/2024 7:23,An account was successfully logged on.,185.235.141.173,4634,ram,LogOn
1/4/2024 7:24,An account was successfully logged on.,134.232.029.004,4625,rekha.y,LogOn
1/4/2024 7:25,An account was logged off.,069.012.083.006,4625,rekha.y,logOff
1/4/2024 7:26,An account was successfully logged on.,035.048.029.105,4624,rekha.y,LogOn
1/4/2024 7:27,An account failed to log on.,254.216.116.177,4624,nimmi.adp,LoginFailure
1/4/2024 7:28,An account failed to log on.,056.172.054.255,4624,nimmi.adp,LoginFailure
1/4/2024 7:29,An account was logged off.,177.068.001.123,4634,SKY$,logOff
1/4/2024 7:30,An account was logged off.,099.102.073.096,4625,nimmi.adp,logOff
1/4/2024 7:31,An account was successfully logged on.,104.208.212.223,4634,RAHDELHI,LogOn
1/4/2024 7:32,An account was successfully logged on.,033.061.035.219,4634,ram,LogOn
1/4/2024 7:33,An account failed to log on.,155.036.132.143,4634,RAHDELHI,LoginFailure
1/4/2024 7:34,An account failed to log on.,247.190.102.096,4624,ram,LoginFailure
1/4/2024 7:35,An account failed to log on.,072.211.136.086,4625,rekha.y,LoginFailure
1/4/2024 7:36,An account failed to log on.,187.172.070.130,4634,ram,LoginFailure
1/4/2024 7:37,An account was successfully logged on.,069.255.041.097,4625,Ram,LogOn
1/4/2024 7:38,An account failed to log on.,132.229.187.057,4624,SKY$,LoginFailure
1/4/2024 7:39,An account was logged off.,168.091.000.146,4634,RAHDELHI,logOff
1/4/2024 7:40,An account failed to log on.,079.255.142.141,4624,arcsight,LoginFailure
1/4/2024 7:41,An account was logged off.,045.168.224.013,4634,arcsight,logOff
1/4/2024 7:42,An account was logged off.,054.144.229.201,4634,nimmi.adp,logOff
1/4/2024 7:43,An account was successfully logged on.,094.023.211.254,4634,ram,LogOn
1/4/2024 7:44,An account was logged off.,249.065.057.215,4625,Ram,logOff
1/4/2024 7:45,An account was successfully logged on.,094.225.126.066,4634,ram,LogOn
1/4/2024 7:46,An account failed to log on.,062.048.033.013,4624,ram,LoginFailure
1/4/2024 7:47,An account was logged off.,129.147.167.106,4624,nimmi.adp,logOff
1/4/2024 7:48,An account was logged off.,010.235.207.169,4624,Ram,logOff
1/4/2024 7:49,An account was logged off.,144.094.035.056,4634,SKY$,logOff
1/4/2024 7:50,An account failed to log on.,131.038.080.026,4634,nimmi.adp,LoginFailure
1/4/2024 7:51,An account was logged off.,155.054.181.192,4634,ram,logOff
1/4/2024 7:52,An account was logged off.,086.066.135.151,4625,Ram,logOff
1/4/2024 7:53,An account was successfully logged on.,224.094.197.225,4625,Ram,LogOn
1/4/2024 7:54,An account was logged off.,183.044.197.110,4624,arcsight,logOff
1/4/2024 7:55,An account failed to log on.,248.057.248.144,4634,nimmi.adp,LoginFailure
1/4/2024 7:56,An account was successfully logged on.,218.060.201.004,4634,Ram,LogOn
1/4/2024 7:57,An account was successfully logged on.,053.007.156.207,4624,Ram,LogOn
1/4/2024 7:58,An account was logged off.,109.104.235.023,4624,rekha.y,logOff
1/4/2024 7:59,An account was logged off.,034.024.079.140,4634,Ram,logOff
1/4/2024 8:00,An account was successfully logged on.,210.168.209.077,4624,Ram,LogOn
1/4/2024 8:01,An account was logged off.,112.160.016.070,4634,Ram,logOff
1/4/2024 8:02,An account was logged off.,193.141.035.220,4625,nimmi.adp,logOff
1/4/2024 8:03,An account failed to log on.,106.121.236.098,4625,Ram,LoginFailure
1/4/2024 8:04,An account failed to log on.,009.015.254.060,4624,Ram,LoginFailure
1/4/2024 8:05,An account was successfully logged on.,127.180.086.241,4624,RAHDELHI,LogOn
1/4/2024 8:06,An account was successfully logged on.,063.079.008.001,4625,rekha.y,LogOn
1/4/2024 8:07,An account failed to log on.,121.026.038.112,4634,SKY$,LoginFailure
1/4/2024 8:08,An account was logged off.,219.069.197.194,4634,nimmi.adp,logOff
1/4/2024 8:09,An account failed to log on.,045.041.252.076,4625,SKY$,LoginFailure
1/4/2024 8:10,An account was logged off.,051.206.239.248,4624,RAHDELHI,logOff
1/4/2024 8:11,An account failed to log on.,101.188.006.113,4625,RAHDELHI,LoginFailure
1/4/2024 8:12,An account failed to log on.,106.130.037.174,4625,RAHDELHI,LoginFailure
1/4/2024 8:13,An account was successfully logged on.,109.141.085.094,4625,rekha.y,LogOn
1/4/2024 8:14,An account was successfully logged on.,082.055.238.011,4625,RAHDELHI,LogOn
1/4/2024 8:15,An account was successfully logged on.,142.191.106.055,4634,SKY$,LogOn
1/4/2024 8:16,An account was logged off.,022.156.134.180,4625,rekha.y,logOff
1/4/2024 8:17,An account failed to log on.,057.116.024.226,4624,rekha.y,LoginFailure
1/4/2024 8:18,An account was logged off.,049.027.031.183,4624,rekha.y,logOff
1/4/2024 8:19,An account was logged off.,105.084.100.156,4625,SKY$,logOff
1/4/2024 8:20,An account was logged off.,105.036.117.146,4625,RAHDELHI,logOff
1/4/2024 8:21,An account was successfully logged on.,199.205.153.053,4634,SKY$,LogOn
1/4/2024 8:22,An account failed to log on.,215.231.235.171,4625,nimmi.adp,LoginFailure
1/4/2024 8:23,An account was logged off.,110.062.214.066,4634,ram,logOff
1/4/2024 8:24,An account failed to log on.,115.151.125.234,4624,RAHDELHI,LoginFailure
1/4/2024 8:25,An account was successfully logged on.,126.201.129.067,4624,Ram,LogOn
1/4/2024 8:26,An account was logged off.,151.140.229.244,4634,nimmi.adp,logOff
1/4/2024 8:27,An account was successfully logged on.,045.169.187.143,4625,arcsight,LogOn
1/4/2024 8:28,An account was logged off.,226.105.037.028,4625,Ram,logOff
1/4/2024 8:29,An account was logged off.,238.057.126.041,4624,RAHDELHI,logOff
1/4/2024 8:30,An account was logged off.,061.063.130.217,4624,nimmi.adp,logOff
1/4/2024 8:31,An account failed to log on.,151.201.223.209,4634,RAHDELHI,LoginFailure
1/4/2024 8:32,An account was logged off.,143.070.254.149,4624,rekha.y,logOff
1/4/2024 8:33,An account was successfully logged on.,249.051.078.164,4625,ram,LogOn
1/4/2024 8:34,An account was successfully logged on.,197.240.102.189,4624,SKY$,LogOn
1/4/2024 8:35,An account was successfully logged on.,104.232.092.162,4624,arcsight,LogOn
1/4/2024 8:36,An account was logged off.,253.148.017.106,4625,ram,logOff
1/4/2024 8:37,An account was logged off.,032.189.241.103,4624,nimmi.adp,logOff
1/4/2024 8:38,An account was logged off.,230.104.159.124,4634,ram,logOff
1/4/2024 8:39,An account failed to log on.,230.222.015.087,4625,rekha.y,LoginFailure
1/4/2024 8:40,An account failed to log on.,211.063.122.235,4634,SKY$,LoginFailure
1/4/2024 8:41,An account was successfully logged on.,040.049.152.022,4634,ram,LogOn
1/4/2024 8:42,An account was logged off.,135.038.204.157,4624,ram,logOff
1/4/2024 8:43,An account was logged off.,233.161.220.183,4624,nimmi.adp,logOff
1/4/2024 8:44,An account was successfully logged on.,211.089.152.135,4624,ram,LogOn
1/4/2024 8:45,An account was successfully logged on.,053.215.004.220,4624,ram,LogOn
1/4/2024 8:46,An account was logged off.,220.099.247.166,4634,ram,logOff
1/4/2024 8:47,An account was successfully logged on.,094.181.151.105,4634,SKY$,LogOn
1/4/2024 8:48,An account was logged off.,163.087.080.198,4624,arcsight,logOff
1/4/2024 8:49,An account failed to log on.,104.171.105.136,4625,arcsight,LoginFailure
1/4/2024 8:50,An account failed to log on.,034.201.195.102,4625,rekha.y,LoginFailure
1/4/2024 8:51,An account was successfully logged on.,255.089.169.125,4634,rekha.y,LogOn
1/4/2024 8:52,An account was successfully logged on.,142.012.088.119,4634,SKY$,LogOn
1/4/2024 8:53,An account failed to log on.,164.123.127.205,4625,Ram,LoginFailure
1/4/2024 8:54,An account was logged off.,164.127.199.214,4624,RAHDELHI,logOff
1/4/2024 8:55,An account was logged off.,195.075.055.132,4634,SKY$,logOff
1/4/2024 8:56,An account failed to log on.,138.240.252.023,4625,Ram,LoginFailure
1/4/2024 8:57,An account was successfully logged on.,184.166.007.097,4634,SKY$,LogOn
1/4/2024 8:58,An account failed to log on.,127.247.123.118,4634,rekha.y,LoginFailure
1/4/2024 8:59,An account failed to log on.,229.117.062.184,4634,arcsight,LoginFailure
1/4/2024 9:00,An account failed to log on.,008.064.226.067,4624,nimmi.adp,LoginFailure
1/4/2024 9:01,An account failed to log on.,047.018.015.226,4625,ram,LoginFailure
1/4/2024 9:02,An account was logged off.,247.136.076.053,4634,rekha.y,logOff
1/4/2024 9:03,An account failed to log on.,038.219.218.146,4625,ram,LoginFailure
1/4/2024 9:04,An account was successfully logged on.,100.122.066.253,4634,rekha.y,LogOn
1/4/2024 9:05,An account was successfully logged on.,190.028.032.239,4634,RAHDELHI,LogOn
1/4/2024 9:06,An account failed to log on.,218.206.038.245,4624,arcsight,LoginFailure
1/4/2024 9:07,An account failed to log on.,077.158.087.179,4624,nimmi.adp,LoginFailure
1/4/2024 9:08,An account was logged off.,008.206.106.214,4634,nimmi.adp,logOff
1/4/2024 9:09,An account failed to log on.,048.159.211.052,4624,SKY$,LoginFailure
1/4/2024 9:10,An account was logged off.,236.237.071.013,4634,arcsight,logOff
1/4/2024 9:11,An account was successfully logged on.,232.093.084.083,4625,rekha.y,LogOn
1/4/2024 9:12,An account was successfully logged on.,016.128.224.112,4634,RAHDELHI,LogOn
1/4/2024 9:13,An account was logged off.,114.101.164.144,4625,arcsight,logOff
1/4/2024 9:14,An account failed to log on.,227.234.199.225,4634,RAHDELHI,LoginFailure
1/4/2024 9:15,An account failed to log on.,152.057.073.158,4634,Ram,LoginFailure
1/4/2024 9:16,An account was successfully logged on.,235.074.007.211,4625,arcsight,LogOn
1/4/2024 9:17,An account was successfully logged on.,148.055.080.136,4625,nimmi.adp,LogOn
1/4/2024 9:18,An account was logged off.,080.192.100.201,4624,RAHDELHI,logOff
1/4/2024 9:19,An account was successfully logged on.,016.121.232.189,4625,nimmi.adp,LogOn
1/4/2024 9:20,An account failed to log on.,082.091.036.196,4625,arcsight,LoginFailure
1/4/2024 9:21,An account was successfully logged on.,009.242.214.052,4634,Ram,LogOn
1/4/2024 9:22,An account was successfully logged on.,147.150.016.000,4625,RAHDELHI,LogOn
1/4/2024 9:23,An account failed to log on.,097.025.233.164,4634,SKY$,LoginFailure
1/4/2024 9:24,An account was successfully logged on.,220.240.094.179,4624,arcsight,LogOn
1/4/2024 9:25,An account was logged off.,167.199.034.081,4634,RAHDELHI,logOff
1/4/2024 9:26,An account failed to log on.,147.233.162.026,4634,rekha.y,LoginFailure
1/4/2024 9:27,An account was logged off.,112.112.001.108,4634,Ram,logOff
1/4/2024 9:28,An account was logged off.,055.154.056.106,4624,arcsight,logOff
1/4/2024 9:29,An account was successfully logged on.,058.010.189.122,4624,SKY$,LogOn
1/4/2024 9:30,An account was successfully logged on.,009.107.221.046,4634,RAHDELHI,LogOn
1/4/2024 9:31,An account was successfully logged on.,036.108.194.045,4634,RAHDELHI,LogOn
1/4/2024 9:32,An account was successfully logged on.,007.115.069.109,4625,SKY$,LogOn
1/4/2024 9:33,An account was logged off.,247.153.026.254,4624,RAHDELHI,logOff
1/4/2024 9:34,An account was logged off.,090.091.253.039,4625,RAHDELHI,logOff
1/4/2024 9:35,An account was successfully logged on.,220.135.147.115,4634,SKY$,LogOn
1/4/2024 9:36,An account failed to log on.,111.226.137.130,4625,Ram,LoginFailure
1/4/2024 9:37,An account failed to log on.,248.219.238.249,4634,rekha.y,LoginFailure
1/4/2024 9:38,An account was logged off.,231.088.111.143,4634,arcsight,logOff
1/4/2024 9:39,An account was logged off.,223.036.117.034,4634,ram,logOff
1/4/2024 9:40,An account failed to log on.,036.142.052.221,4634,SKY$,LoginFailure
1/4/2024 9:41,An account was successfully logged on.,060.247.195.216,4625,RAHDELHI,LogOn
1/4/2024 9:42,An account was logged off.,030.218.231.022,4624,Ram,logOff
1/4/2024 9:43,An account failed to log on.,088.174.052.142,4634,rekha.y,LoginFailure
1/4/2024 9:44,An account was logged off.,180.231.204.017,4625,RAHDELHI,logOff
1/4/2024 9:45,An account was logged off.,221.205.242.208,4634,ram,logOff
1/4/2024 9:46,An account was logged off.,082.114.097.125,4634,nimmi.adp,logOff
1/4/2024 9:47,An account was successfully logged on.,200.084.054.210,4634,nimmi.adp,LogOn
1/4/2024 9:48,An account failed to log on.,095.136.169.246,4634,nimmi.adp,LoginFailure
1/4/2024 9:49,An account was logged off.,076.172.232.185,4634,ram,logOff
1/4/2024 9:50,An account failed to log on.,003.094.013.019,4625,ram,LoginFailure
1/4/2024 9:51,An account was logged off.,219.026.005.075,4625,RAHDELHI,logOff
1/4/2024 9:52,An account was logged off.,080.111.096.221,4634,arcsight,logOff
1/4/2024 9:53,An account was successfully logged on.,187.242.253.182,4624,Ram,LogOn
1/4/2024 9:54,An account was successfully logged on.,077.010.132.118,4624,Ram,LogOn
1/4/2024 9:55,An account was logged off.,132.158.195.229,4634,Ram,logOff
1/4/2024 9:56,An account was successfully logged on.,060.187.150.065,4634,RAHDELHI,LogOn
1/4/2024 9:57,An account was logged off.,144.000.222.158,4634,nimmi.adp,logOff
1/4/2024 9:58,An account failed to log on.,199.127.137.039,4625,arcsight,LoginFailure
1/4/2024 9:59,An account was logged off.,150.147.164.004,4634,arcsight,logOff
1/4/2024 10:00,An account failed to log on.,229.083.041.095,4634,RAHDELHI,LoginFailure
1/4/2024 10:01,An account was logged off.,147.017.223.165,4625,rekha.y,logOff
1/4/2024 10:02,An account was logged off.,205.011.063.159,4634,ram,logOff
1/4/2024 10:03,An account failed to log on.,229.164.240.251,4624,arcsight,LoginFailure
1/4/2024 10:04,An account failed to log on.,100.116.153.244,4634,rekha.y,LoginFailure
1/4/2024 10:05,An account was successfully logged on.,037.006.100.082,4634,ram,LogOn
1/4/2024 10:06,An account failed to log on.,061.239.237.225,4624,RAHDELHI,LoginFailure
1/4/2024 10:07,An account failed to log on.,249.248.080.017,4624,ram,LoginFailure
1/4/2024 10:08,An account was logged off.,054.174.094.201,4634,rekha.y,logOff
1/4/2024 10:09,An account failed to log on.,033.201.160.118,4634,nimmi.adp,LoginFailure
1/4/2024 10:10,An account was logged off.,094.006.149.152,4624,RAHDELHI,logOff
1/4/2024 10:11,An account was successfully logged on.,164.029.017.136,4634,SKY$,LogOn
1/4/2024 10:12,An account was logged off.,178.222.034.143,4634,rekha.y,logOff
1/4/2024 10:13,An account was logged off.,177.177.056.095,4625,arcsight,logOff
1/4/2024 10:14,An account was logged off.,000.247.056.187,4624,SKY$,logOff
1/4/2024 10:15,An account was successfully logged on.,062.247.046.124,4625,rekha.y,LogOn
1/4/2024 10:16,An account was successfully logged on.,173.043.011.005,4634,arcsight,LogOn
1/4/2024 10:17,An account was logged off.,231.122.136.179,4624,RAHDELHI,logOff
1/4/2024 10:18,An account was logged off.,170.051.097.228,4625,nimmi.adp,logOff
1/4/2024 10:19,An account failed to log on.,250.011.243.176,4634,Ram,LoginFailure
1/4/2024 10:20,An account was successfully logged on.,101.082.223.008,4634,arcsight,LogOn
1/4/2024 10:21,An account failed to log on.,237.151.114.154,4634,SKY$,LoginFailure
1/4/2024 10:22,An account was logged off.,157.025.206.181,4634,nimmi.adp,logOff
1/4/2024 10:23,An account failed to log on.,107.189.060.061,4624,ram,LoginFailure
1/4/2024 10:24,An account was logged off.,119.006.147.033,4634,Ram,logOff
1/4/2024 10:25,An account was logged off.,163.219.015.034,4625,RAHDELHI,logOff
1/4/2024 10:26,An account was logged off.,153.080.015.127,4634,rekha.y,logOff
1/4/2024 10:27,An account was logged off.,238.102.133.004,4625,nimmi.adp,logOff
1/4/2024 10:28,An account failed to log on.,035.158.000.081,4634,SKY$,LoginFailure
1/4/2024 10:29,An account was successfully logged on.,147.200.028.144,4634,Ram,LogOn
1/4/2024 10:30,An account was logged off.,083.126.071.149,4634,RAHDELHI,logOff
1/4/2024 10:31,An account failed to log on.,120.047.035.197,4625,ram,LoginFailure
1/4/2024 10:32,An account was logged off.,006.102.187.129,4634,SKY$,logOff
1/4/2024 10:33,An account was logged off.,137.185.141.089,4625,nimmi.adp,logOff
1/4/2024 10:34,An account was logged off.,200.237.183.165,4634,arcsight,logOff
1/4/2024 10:35,An account was logged off.,135.013.163.117,4624,SKY$,logOff
1/4/2024 10:36,An account was logged off.,189.120.233.104,4625,SKY$,logOff
1/4/2024 10:37,An account failed to log on.,237.010.182.232,4634,ram,LoginFailure
1/4/2024 10:38,An account failed to log on.,159.237.190.175,4625,SKY$,LoginFailure
1/4/2024 10:39,An account was logged off.,067.197.059.210,4624,SKY$,logOff
1/4/2024 10:40,An account was successfully logged on.,141.233.188.118,4624,nimmi.adp,LogOn
1/4/2024 10:41,An account was successfully logged on.,143.083.137.079,4634,RAHDELHI,LogOn
1/4/2024 10:42,An account was logged off.,113.137.144.132,4624,ram,logOff
1/4/2024 10:43,An account was logged off.,169.004.166.095,4634,RAHDELHI,logOff
1/4/2024 10:44,An account was logged off.,156.055.215.121,4625,SKY$,logOff
1/4/2024 10:45,An account failed to log on.,119.098.137.016,4634,arcsight,LoginFailure
1/4/2024 10:46,An account was logged off.,168.197.081.030,4625,Ram,logOff
1/4/2024 10:47,An account was logged off.,015.251.000.041,4634,arcsight,logOff
1/4/2024 10:48,An account failed to log on.,087.054.034.231,4625,rekha.y,LoginFailure
1/4/2024 10:49,An account was logged off.,084.239.058.162,4625,rekha.y,logOff
1/4/2024 10:50,An account was successfully logged on.,137.000.091.043,4634,RAHDELHI,LogOn
1/4/2024 10:51,An account was logged off.,122.247.242.048,4634,SKY$,logOff
1/4/2024 10:52,An account was logged off.,089.097.197.190,4624,Ram,logOff
1/4/2024 10:53,An account was successfully logged on.,124.000.093.037,4624,nimmi.adp,LogOn
1/4/2024 10:54,An account was successfully logged on.,164.250.200.237,4625,nimmi.adp,LogOn
1/4/2024 10:55,An account was logged off.,171.056.212.203,4624,Ram,logOff
1/4/2024 10:56,An account was logged off.,037.066.051.237,4634,rekha.y,logOff
1/4/2024 10:57,An account was successfully logged on.,131.177.172.230,4634,arcsight,LogOn
1/4/2024 10:58,An account was logged off.,204.031.206.087,4624,ram,logOff
1/4/2024 10:59,An account was logged off.,136.152.148.172,4634,SKY$,logOff
1/4/2024 11:00,An account failed to log on.,082.136.248.117,4625,ram,LoginFailure
1/4/2024 11:01,An account was successfully logged on.,061.080.179.097,4625,arcsight,LogOn
1/4/2024 11:02,An account failed to log on.,216.031.024.004,4634,ram,LoginFailure
1/4/2024 11:03,An account was logged off.,155.063.100.222,4634,ram,logOff
1/4/2024 11:04,An account was successfully logged on.,108.079.094.024,4634,ram,LogOn
1/4/2024 11:05,An account failed to log on.,090.082.106.130,4625,SKY$,LoginFailure
1/4/2024 11:06,An account was logged off.,089.234.020.156,4634,arcsight,logOff
1/4/2024 11:07,An account was logged off.,104.205.213.149,4634,nimmi.adp,logOff
1/4/2024 11:08,An account was logged off.,045.130.086.083,4634,ram,logOff
1/4/2024 11:09,An account was logged off.,128.144.153.052,4634,nimmi.adp,logOff
1/4/2024 11:10,An account was successfully logged on.,104.010.194.110,4634,Ram,LogOn
1/4/2024 11:11,An account was logged off.,199.209.152.018,4624,rekha.y,logOff
1/4/2024 11:12,An account failed to log on.,014.235.211.176,4634,SKY$,LoginFailure
1/4/2024 11:13,An account was logged off.,130.118.029.250,4625,rekha.y,logOff
1/4/2024 11:14,An account failed to log on.,231.177.102.015,4625,ram,LoginFailure
1/4/2024 11:15,An account was logged off.,232.008.100.253,4634,ram,logOff
1/4/2024 11:16,An account was logged off.,071.244.112.185,4625,SKY$,logOff
1/4/2024 11:17,An account was logged off.,230.085.155.071,4634,rekha.y,logOff
1/4/2024 11:18,An account failed to log on.,107.013.090.118,4625,SKY$,LoginFailure
1/4/2024 11:19,An account was logged off.,219.147.040.048,4625,SKY$,logOff
1/4/2024 11:20,An account failed to log on.,246.160.205.159,4634,RAHDELHI,LoginFailure
1/4/2024 11:21,An account was logged off.,186.193.017.021,4625,ram,logOff
1/4/2024 11:22,An account was successfully logged on.,097.184.160.134,4625,Ram,LogOn
1/4/2024 11:23,An account failed to log on.,112.065.083.151,4634,SKY$,LoginFailure
1/4/2024 11:24,An account was logged off.,206.125.211.123,4634,arcsight,logOff
1/4/2024 11:25,An account failed to log on.,056.149.075.249,4634,arcsight,LoginFailure
1/4/2024 11:26,An account was successfully logged on.,169.061.113.180,4625,SKY$,LogOn
1/4/2024 11:27,An account was successfully logged on.,076.111.128.208,4625,Ram,LogOn
1/4/2024 11:28,An account was logged off.,203.089.215.070,4624,SKY$,logOff
1/4/2024 11:29,An account was successfully logged on.,123.197.171.034,4624,Ram,LogOn
1/4/2024 11:30,An account was logged off.,048.198.128.204,4634,ram,logOff
1/4/2024 11:31,An account failed to log on.,137.212.175.126,4624,arcsight,LoginFailure
1/4/2024 11:32,An account was logged off.,235.059.176.116,4625,RAHDELHI,logOff
